mode,lam_target,gamma,baseline_tok_per_s,lam_draft,ffn_active,alpha,tv_distance,expected_toks_per_call,tok_per_s,tok_per_s_std,accept_rate,param_ratio,speedup
sweep,0.0,4,6.337638454188814,0.2663,0.31255340576171875,0.8644810914993286,0.1355189085006714,3.4749652192253784,12.629795688584752,0.9360648615612381,0.6187413048063446,0.4753005284899633,1.9928236329475666
sweep,0.0,4,6.337638454188814,0.2854,0.2437896728515625,0.8589906096458435,0.1410093903541565,3.2394282818556603,11.66566185870112,0.5975888790630667,0.5598570704639151,0.4279228576223379,1.8406953856748942
sweep,0.0,4,6.337638454188814,0.3059,0.18906402587890625,0.841127872467041,0.15887212753295898,3.7942744732618934,13.994007834081616,0.4854640167265059,0.6985686183154733,0.3893807806325223,2.208079229390623
sweep,0.0,4,6.337638454188814,0.3278,0.148345947265625,0.8607804179191589,0.13921958208084106,3.6098982506442527,13.28390034528771,0.8965844994837807,0.6524745626610632,0.3588355563625505,2.0960331582985487
sweep,0.0,4,6.337638454188814,0.3513,0.1186370849609375,0.8592524528503418,0.1407475471496582,3.419088844751291,12.568812365433885,0.7139229790924836,0.6047722111878228,0.33440001720699897,1.9832012280736249
sweep,0.0,4,6.337638454188814,0.3764,0.09738922119140625,0.8551403880119324,0.14485961198806763,3.398374820557327,12.619724144361912,0.14545817872549355,0.5995937051393317,0.3161093774892938,1.9912344693662671
sweep,0.0,4,6.337638454188814,0.4034,0.0825042724609375,0.8571587800979614,0.14284121990203857,3.116599773592673,11.548216108236906,0.403502023449081,0.5291499433981682,0.29854543335501715,1.8221639166879582
sweep,0.0,4,6.337638454188814,0.4323,0.07088470458984375,0.8515445590019226,0.1484554409980774,3.1080568247072633,11.31812763177588,0.3062397494354576,0.5270142061768158,0.2904125252946636,1.785858835840541
sweep,0.0,4,6.337638454188814,0.4633,0.063201904296875,0.854712188243866,0.14528781175613403,3.4126013483933106,12.472230424481603,0.6458975512958974,0.6031503370983277,0.2822988250470879,1.9679618070100193
sweep,0.0,4,6.337638454188814,0.4965,0.05730438232421875,0.8533433675765991,0.14665663242340088,3.4115007719696258,12.754538159792885,0.6127251966812769,0.6028751929924064,0.2744892485018281,2.012506433111985
sweep,0.0,4,6.337638454188814,0.532,0.0530853271484375,0.8511689901351929,0.14883100986480713,3.407037407037407,12.7046429405194,0.3508691303560609,0.6017593517593517,0.2701947016949144,2.0046335922053684
sweep,0.0,4,6.337638454188814,0.5701,0.04990386962890625,0.8490898609161377,0.1509101390838623,3.213318109870503,12.025101245217378,0.8269792564530299,0.5533295274676258,0.26819228721282384,1.8974104206385392
sweep,0.0,4,6.337638454188814,0.611,0.04734039306640625,0.8358677625656128,0.1641322374343872,3.220654353256547,12.09690619609841,0.8181915030031867,0.5551635883141367,0.2641202309039202,1.9087403428800915
sweep,0.0,4,6.337638454188814,0.6547,0.04549407958984375,0.8412001132965088,0.1587998867034912,3.339631129104813,13.6036671557941,0.7570851071263696,0.5849077822762033,0.2604995581952959,2.1464883574737303
sweep,0.0,4,6.337638454188814,0.7016,0.04396820068359375,0.8429650068283081,0.1570349931716919,3.171748521948165,12.74887608134374,0.902525487692948,0.5429371304870413,0.2587196342112154,2.0116130280226807
sweep,0.0,4,6.337638454188814,0.7519,0.04290771484375,0.8484684824943542,0.15153151750564575,3.3127009720656293,13.264041027110402,0.6575316798572649,0.5781752430164073,0.25559356268162076,2.092899606531457
sweep,0.0,4,6.337638454188814,0.8058,0.042144775390625,0.8487749099731445,0.15122509002685547,3.37420330451021,13.592949036195444,0.7503524295618397,0.5935508261275525,0.25511336736217455,2.1447971723933366
sweep,0.0,4,6.337638454188814,0.8635,0.041412353515625,0.8523448705673218,0.14765512943267822,3.6697835089991955,14.739875676573652,0.4174399768325512,0.6674458772497989,0.25383284651031807,2.3257678365719086
sweep,0.0,4,6.337638454188814,0.9254,0.04076385498046875,0.8551627993583679,0.14483720064163208,3.231430534840477,11.721486280691918,0.39567022779520333,0.5578576337101192,0.2501465471080362,1.8495037805359016
sweep,0.0,4,6.337638454188814,0.9916,0.04027557373046875,0.8533437252044678,0.14665627479553223,3.016967852235324,11.164306364569734,0.5952373952629353,0.5042419630588311,0.24656108872283802,1.7615877657380048
sweep,0.0,4,6.337638454188814,1.0627,0.03964996337890625,0.8571175336837769,0.14288246631622314,3.0499514214990544,11.483752727860127,0.689099740492365,0.5124878553747636,0.24452826187051582,1.811992402354544
sweep,0.0,4,6.337638454188814,1.1388,0.0390777587890625,0.8573639392852783,0.14263606071472168,3.278688764039083,12.139214383184894,0.5091082493241094,0.5696721910097707,0.24334858203574303,1.9154160450982454
sweep,0.0,4,6.337638454188814,1.2204,0.038421630859375,0.8605751991271973,0.13942480087280273,3.3378607809847196,12.445546206826743,0.06225810055860043,0.5844651952461799,0.2396574806802667,1.9637513715540138
sweep,0.0,4,6.337638454188814,1.3078,0.03772735595703125,0.8566948771476746,0.14330512285232544,3.287813392822199,12.237294730391705,0.6161348146215165,0.5719533482055498,0.23758143624919437,1.9308918959085712
sweep,0.0,4,6.337638454188814,1.4015,0.03722381591796875,0.8539792895317078,0.14602071046829224,3.0819457998648754,12.308919511200381,0.512498656159931,0.5204864499662187,0.2348059073027954,1.942193389568459
